,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Atu0900,283.9398428609404,-0.2702310306439588,0.22121663893952012,-1.2023659407835656,0.2163423663375489,0.3396034547390735
Atu0901,433.79711394128697,1.376801539155537,0.27346368499042384,5.6204775215189375,4.25275208470722e-08,5.23932560639908e-07
Atu0902,117.10361062033735,1.2431926814034402,0.2578140164523117,4.423311390102318,5.12621558247276e-06,3.673755688885991e-05
Atu0903,202.69723576020723,-0.2791251195677564,0.27589881917506515,-0.9614176929860055,0.3267782612202181,0.4284909865760402
Atu0904,2783.8899771549272,-0.37015425161177745,0.17683192504229403,-1.9521406619533026,0.044055070876818786,0.09333214541677207
Atu0905,1195.6713953396268,0.30721324984770676,0.2303103173460398,1.3536699348005463,0.1785978976552907,0.2951329280103617
Atu0906,359.641676292552,-0.3490979896609085,0.23784895121139443,-1.5030584228579251,0.13452232235039369,0.24193986757182873
Atu0907,486.61139940020615,1.0435622119677868,0.3259457442271011,3.363922976562346,0.001117257050465008,0.0043305865463000946
Atu0908,2150.4470630448204,1.3161419686470708,0.26623408592941594,5.029973787129496,3.510737779043461e-07,3.3079080360086965e-06
Atu0909,1104.5240217805056,0.06716318686748858,0.2096832902220155,0.3301920428909158,0.7543144704425171,0.861834619381653
Atu0910,124.60662635597375,-0.3825439777915204,0.2812204258030503,-1.2859723496570148,0.18849982709841795,0.30565486094001326
Atu0911,81.31523403785246,-0.3555945618848913,0.29180828632140515,-1.2700851113930909,0.18219370429042595,0.30386972316241107
Atu0912,447.1931634951062,-0.3787020588013965,0.20068537136290884,-1.844463417449506,0.07679122366286363,0.1517502602030226
Atu0913,144.0958277189039,-0.28620013768368746,0.2591547638473239,-1.0953544107416113,0.28171564010965966,0.40540405246293604
Atu0914,153.67862616426922,-0.26687294445690746,0.26302502205156475,-1.0527325129327694,0.31543215390875196,0.456686248930146
Atu0915,39.58505427624673,0.1038180192139228,0.31558729932589197,0.33022803234194664,0.7550006669550644,0.8517033430726082
Atu0916,3592.4462519455537,-0.575709231872799,0.18763803993052253,-2.913311324837397,0.0022955406543598636,0.008078774865076733
Atu0917,10.949134393564384,0.0618769425215534,0.6171619869236521,0.11252040117887223,0.9536522643016524,0.9241335234508469
Atu0918,41.24277866187712,-0.08019159533353795,0.33174508937927716,-0.2330692494207364,0.817300940461673,0.8436949846514148
Atu0919,359.6442392651815,0.3041977037794756,0.25096148534010804,1.1846365576257898,0.2270737317805287,0.33249487418652035
Atu0920,308.2817543975879,-0.005996635126341471,0.25816827670090026,-0.02516864735317845,0.9949067203734561,1.0041512373603874
Atu0921,758.0114141766662,-0.34886494738459345,0.1810290236067211,-1.9662960990099168,0.05902129685644636,0.11916391515453024
Atu0922,33.70153414946415,-0.9433773619810096,0.3481843555629551,-2.7448337995974197,0.004231626302889077,0.013331201055747598
Atu0923,535.9268518347421,-0.683697064141423,0.19306311355244565,-3.9519497911256853,0.00014704673318760166,0.0007668453391967742
Atu0925,290.3786085237462,0.6900963332508199,0.21361186153108438,3.2344616984997945,0.0013838758201115383,0.005222266521696892
Atu0926,488.8227982197464,0.22585493753716898,0.2037070008159757,1.1319521824910976,0.25435159052463585,0.3907099031069978
Atu0927,29.190550759793116,2.4586457344875847,0.5242568443754343,4.852254922089188,3.2826104913561505e-07,3.0921119011824e-06
Atu0928,46.80586742011669,-1.1256805555588887,0.3922781269164018,-2.8300495415282154,0.005154306228256897,0.015064464263276007
Atu0929,185.10132347660712,0.2550602784157583,0.2092410297957605,1.0777648398291388,0.2610188836802657,0.39305654772786924
Atu0930,163.5428944291068,0.4430011282501569,0.2636578299214776,1.8307783891249987,0.07143375695190647,0.14530373230349236
Atu0931,1326.6695310576085,-0.12100010532707753,0.21220769263275047,-0.5815300729727721,0.582501564271926,0.6994210564047997
Atu0932,240.4570364331626,-0.3535198870333049,0.285210994385725,-1.2642438322449223,0.19811417815573226,0.3269103073443744
Atu0933,378.34196002812655,-0.5756200028293357,0.22543830355429706,-2.5506343578682844,0.008417719382425411,0.022832011867489965
Atu0934,63.36820232834911,0.021609427252209767,0.29187061776352896,0.07452189360985104,0.9371285748315968,0.9464300240670859
Atu0935,339.1195724820227,-0.13511706719049174,0.21378181973398835,-0.6541628087485283,0.5467145541330051,0.6327017854847017
Atu0936,56.990175703824946,-0.473800363157428,0.3007625370183904,-1.5498700063445254,0.11443843689589382,0.19189035208503957
Atu0937,833.8331082280932,1.3613999684048061,0.2853346120862016,4.694714638045043,3.354669842835769e-06,2.5327086632530678e-05
Atu0938,122.2570528779607,1.4778821527742472,0.2666545694731773,5.141646656388092,1.1570868224315554e-07,1.1290529536846076e-06
Atu0939,399.9418107005955,0.9782452199987224,0.21579155391636196,4.6220140410281605,6.011983185563505e-06,4.114653271479878e-05
Atu0940,213.84516797195144,1.224274900748473,0.21233714267539539,5.4744659569132414,5.590982101119581e-08,6.437471240530313e-07
Atu0941,25.843238459430147,1.1638829527676031,0.3812594317088842,3.0962092635149348,0.0019149357117535896,0.007077414975388139
Atu0942,322.0570076372685,0.891189021627037,0.2282007535167775,3.8899627412418116,7.43071997041044e-05,0.0004060814608285236
Atu0943,22.100063450576563,1.2895216233833353,0.45348154341092994,2.710480715129285,0.009005860925040497,0.023609804365555823
Atu0944,483.9175284719654,-0.21418820495969168,0.29722658630639365,-0.7151767797199978,0.4533916020204172,0.5882032935784973
Atu0945,1302.7571359299586,1.243790612008874,0.22441417020636706,5.245378601957387,4.383220194865778e-08,5.245986877025048e-07
Atu0946,5756.130382425828,1.7476712371264538,0.35114702691496386,5.290972312229774,7.351289404194598e-08,8.679741647141444e-07
Atu0947,121.76099962163383,0.6904714282142815,0.2901851190053989,2.5694520019167175,0.010899342057440331,0.028939862090244965
Atu0948,91.34145047504455,-0.32059812049623176,0.2903050406602392,-1.0260529547561805,0.29449769428933925,0.41334866063046305
Atu0949,38.93068028395445,-0.3912926787886274,0.3309579584405342,-1.2494360932392763,0.20466357977645933,0.3198135428223336
Atu0950,1092.7180848409225,0.8711529597104903,0.20840060944811337,4.189418018937024,4.575052178263426e-05,0.000276543966002716
Atu0951,152.84361486850747,2.2767031307338303,0.3655179165751476,6.276229061811391,6.841182143881433e-10,1.1956230897540108e-08
Atu0953,475.3837154446421,0.010016389712749868,0.20193086426586898,0.048029441732848066,0.9403627302819471,0.9651319084033031
Atu0954,28.687593913579917,-0.44367209032874777,0.36855904228872577,-1.2668080939970805,0.20030171768074356,0.32369887301790723
Atu0956,12.050852476386742,0.42484730858270225,0.5375386966781815,0.7308904202410809,0.44237036995963214,0.5988388209076869
Atu0957,34.64496407712825,-0.6302369755102774,0.3627434995507688,-1.751404158109756,0.07130242131409796,0.14333080908752582
Atu0959,15.431177253174626,0.5147512607018448,0.4689329146208303,1.0521855365930362,0.3027607747276495,0.4267140501540316
Atu0960,81.53437241075837,-0.3937914266545105,0.2700743647612339,-1.37705569697874,0.14636380544708522,0.24083625443064258
Atu0961,27.668188318670975,0.14724660178190957,0.4107209240583649,0.3446096734118994,0.7215706174497637,0.8335041716668806
Atu0962,182.80792132024044,0.14391973836708824,0.2942159321495114,0.49270682148125605,0.6685340939344837,0.7368618855223928
Atu0964,11.78611375516849,-0.31608682345209704,0.5219979723459897,-0.5970850098508569,0.5523376677539097,0.639182277835617
Atu0965,25.153819692253204,0.3145931564154998,0.37252330144827284,0.8337418763891061,0.40463976351550074,0.5626558313030183
Atu0967,71.05665680726501,-0.1849895059197419,0.27532912862167386,-0.6971785912150658,0.4954716357240856,0.5852613446517784
Atu0968,24.1240826121792,-0.07287669216758293,0.3815951019824595,-0.19076820318460208,0.8330219992601441,0.878648656184279
Atu0970,852.0070542343494,0.19484550567652836,0.18263448746377192,0.9467705581758215,0.3207468760094701,0.45959664185905613
Atu0971,478.8958945488242,0.31933230693338077,0.18186002408891694,1.7263213316967019,0.08515300142666274,0.16489683080998643
Atu0972,1175.1628820939798,0.35861205008228986,0.1878669370292388,1.8155607440641726,0.05891474319200689,0.11341481699515661
Atu0973,830.6354401217562,-0.6265272498009721,0.22493048320241413,-2.6468276592553637,0.009102898143447596,0.023849049295651372
Atu0974,342.2466048764054,-0.14571526213421387,0.21488190701772372,-0.7052218856660509,0.46842412868784933,0.6089189200792174
Atu0975,692.0337365038549,-0.10481667180477806,0.20300015703989283,-0.5225109606359533,0.5859842938781669,0.7277646199866722
Atu0976,112.4613070814834,-0.5357738629398779,0.24146910745276748,-2.24735132389481,0.02365407104566176,0.05685902767308567
Atu0977,6593.4184968142545,0.5760495542691275,0.17227553736278434,3.1077771684256805,0.001091377947577804,0.004014913426633007
Atu0978,1264.1660359328832,0.6307576989371682,0.19883391686177873,3.136206213045978,0.0016491860909570192,0.005703108271264152
Atu0979,776.6042862832236,0.636439662338205,0.19724927864411562,3.2615143253386445,0.0010276982897153939,0.004145354045395516
Atu0981,1390.7456110524943,-0.47907412357961243,0.22046279835328064,-2.093795114883905,0.04562570294259549,0.09980800258895484
Atu0982,1032.6567697292844,0.5400527913925156,0.22074344426336362,2.7300728693570817,0.00835491596440845,0.025313281889191762
Atu0983,427.55401775714597,-2.6467082831940854,0.2541485960801613,-9.922744726186172,4.1334027109133683e-25,3.6562781877653025e-23
Atu0984,1766.735103583948,-0.29829884311755467,0.2046535799080937,-1.4739936165146559,0.1541161701325981,0.2549412371161249
Atu0985,218.15760616402704,-0.7721501883556922,0.2394799356626951,-3.2361253918559547,0.001119420426413813,0.004220176376743386
Atu0987,420.3281822960684,0.20771905769821072,0.28793203179594995,0.6690352730474658,0.48256100647685807,0.611065964201981
Atu0988,351.127532225478,-3.4155476125238406,0.347350326619219,-9.68212270835019,7.9227033350500985e-22,5.2396362134423454e-20
Atu0989,83.28582788246827,-0.4061631106405002,0.31322009800573003,-1.2992262109350363,0.18375510109470286,0.30788241131430866
Atu0990,1092.1743917185195,0.08278453533624713,0.17639974118655347,0.457608142874217,0.6289575099396402,0.7385252985919706
Atu0991,124.64099237261647,-0.4274602964066388,0.2395750334019186,-1.7321389724094003,0.0693252402006555,0.1422585276828959
Atu0992,54.48043843408783,0.6797994637001834,0.30919730769921894,2.0228117490820607,0.03524068771200885,0.07801584975966655
